,Pair,Long Short Band,Foil Decay Band,Leverage,Gross return %,Net return %,Borrow paid ($),Max drawdown %,Worst day %,Trades,Rate source,Shares available,Borrow rate (used) %,Breakeven borrow rate % (annualized),Min margin cushion ($),Stopped,De-risks
115,UDOW / DIA,0.075,0.025,3,7.286045006868227,5.788090378573661,149.79546282945668,-0.37188070241429855,-0.3489907662412389,152,live,200000,2.3721,11.537884415410613,2395.05589873381,False,0
116,UDOW / DIA,0.075,0.05,3,6.9343426662765495,5.430639154720744,150.3703511555805,-0.3925314265469955,-0.36054536205879234,123,live,200000,2.3721,10.938961113188904,2148.6348372291986,False,0
117,UDOW / DIA,0.075,0.075,3,7.339906190442583,5.831796534510086,150.81096559324973,-0.3927142305067336,-0.34899076624123837,106,live,200000,2.3721,11.54491081325466,2017.1756437291497,False,0
118,UDOW / DIA,0.075,0.1,3,7.403532369534858,5.883869115610155,151.96632539247034,-0.37188070241429855,-0.34899076624123837,112,live,200000,2.3721,11.556454423977149,1797.5513220313496,False,0
119,UDOW / DIA,0.075,0.015,3,7.253246209511212,5.7555597178888345,149.76864916223786,-0.37188070241429855,-0.3481359086526851,252,live,200000,2.3721,11.488001948220553,2464.678444004935,False,0
120,UDOW / DIA,0.1,0.01,3,6.958071078595039,5.460352896483649,149.771818211139,-0.3718807024142985,-0.35160750382199357,333,live,200000,2.3721,11.020257751206007,2464.678444004935,False,0
121,UDOW / DIA,0.1,0.025,3,7.286045006868227,5.788090378573661,149.79546282945668,-0.37188070241429855,-0.3489907662412389,152,live,200000,2.3721,11.537884415410613,2395.05589873381,False,0
122,UDOW / DIA,0.1,0.05,3,6.630761574945597,5.127058063389792,150.3703511555805,-0.3925314265469955,-0.36054536205879234,76,live,200000,2.3721,10.460060384945558,2255.1322026454045,False,0
123,UDOW / DIA,0.1,0.075,3,7.14354749935998,5.635437843427483,150.81096559324973,-0.3985250708669543,-0.3489907662412395,86,live,200000,2.3721,11.236058967313099,2017.77026116434,False,0
124,UDOW / DIA,0.1,0.1,3,7.12905849170824,5.609395237783536,151.96632539247034,-0.3931572797543231,-0.34899076624123837,79,live,200000,2.3721,11.128017739790023,1880.2555889593677,False,0
125,UDOW / DIA,0.1,0.015,3,7.253246209511212,5.7555597178888345,149.76864916223786,-0.37188070241429855,-0.3481359086526851,252,live,200000,2.3721,11.488001948220553,2464.678444004935,False,0
